power,pi_phase_point,three_dB_pt_err,three_dB_pt,pi_phase_point_err
0,4644.2951769,1.93189060866,6372.01907158,1.55589030055
100,7886.87035537,0.865034493492,8050.31045226,2.40964751417
200,9127.74097845,3.44274342503,8741.92474869,7.79183706699
300,10002.9451538,11.6932481198,9377.62545679,9.97821131533
400,10813.1347047,3.68546819746,9599.79827819,4.929774175
500,12184.3515495,4.15018475412,9666.40613136,8.40609920434
600,10703.8398063,3.17533231884,9615.97775701,22.7728522498
700,11885.5508762,1.38516717264,9570.41480707,4.39601765154
800,13031.0309056,6.6819749135,9283.74677152,4.04034419038
900,,,,
